"Cluster","AvgGDP","AvgSS","AvgLE","AvgF","AvgG","AvgC"
1,0.904317073170732,0.572463414634146,0.370658536585366,0.396341463414634,0.159439024390244,0.117463414634146
2,1.58911111111111,1.0134126984127,0.667238095238095,0.528047619047619,0.0892539682539683,0.124825396825397
3,1.36826086956522,0.98295652173913,0.585434782608696,0.584130434782609,0.244565217391304,0.0973043478260869
4,1.96126315789474,1.17536842105263,0.783315789473684,0.661210526315789,0.196421052631579,0.404210526315789
